,latitude,longitude,year,predsoc,bushland,cropland,forest,grassland,mangrove,other,shrubland,thicket,wooded_grassland,woodland
65,1.427108576,35.21148877,2021,6.81415,0,0,0,1,0,0,0,0,0,0
66,1.434654425,35.20663787,2021,9.4208,0,0,0,0,0,0,0,0,1,0
67,1.428725544,35.21418372,2021,7.9203,0,0,0,0,0,0,0,0,1,0
68,1.4308815,35.21418372,2021,6.3037,0,1,0,0,0,0,0,0,0,0
69,1.433845941,35.16324924,2022,4.169,0,0,0,0,0,0,0,0,1,0
70,1.409591428,35.16729166,2022,6.6046,0,0,0,0,0,0,0,0,1,0
71,1.433306952,35.16405772,2022,3.8083,0,0,0,0,0,0,0,0,1,0
72,1.433576446,35.16432722,2022,5.55165,0,0,0,0,0,0,0,0,1,0
73,1.434115435,35.16378823,2022,4.08355,1,0,0,0,0,0,0,0,0,0
74,1.434115435,35.16297975,2022,5.5373,0,0,0,0,0,0,0,0,1,0
75,1.410130417,35.16675267,2022,4.8285,0,0,0,0,0,0,0,0,1,0
76,1.410130417,35.16621368,2022,5.5463,0,0,0,0,0,0,0,0,1,0
77,1.409860923,35.16567469,2022,17.4934,0,0,0,0,0,0,0,0,1,0
78,1.409860923,35.16648317,2022,4.6641,0,0,0,0,0,0,0,0,1,0
79,1.361890886,35.15193047,2021,11.74585,1,0,0,0,0,0,0,0,0,0
80,1.362429876,35.14438462,2021,19.1105,0,0,0,0,0,0,0,0,1,0
81,1.367011284,35.14842704,2021,17.4791,1,0,0,0,0,0,0,0,0,0
82,1.362429876,35.15085249,2021,11.7757,1,0,0,0,0,0,0,0,0,0
83,1.362968865,35.1454626,2021,16.1051,0,0,0,0,0,0,0,0,1,0
84,1.363507854,35.14815754,2021,16.5517,0,1,0,0,0,0,0,0,0,0
85,1.363777349,35.14492361,2021,7.0088,0,0,0,0,0,0,0,0,1,0
86,1.361082403,35.14654058,2021,20.40645,0,0,0,0,0,0,0,0,1,0
87,1.360543414,35.15408642,2021,10.3161,0,0,0,0,0,0,1,0,0,0
88,1.361890886,35.15300845,2021,18.5853,1,0,0,0,0,0,0,0,0,0
89,1.38210298,35.15570339,2021,9.74535,0,0,0,0,0,0,1,0,0,0
90,1.387762367,35.14681007,2021,8.00345,0,1,0,0,0,0,0,0,0,0
91,1.383989442,35.1554339,2021,6.2348,0,0,0,0,0,0,0,0,1,0
92,1.38210298,35.14681007,2021,23.06535,1,0,0,0,0,0,0,0,0,0
93,1.390726807,35.15219996,2021,7.58255,0,1,0,0,0,0,0,0,0,0
94,1.383180959,35.1551644,2021,9.4427,1,0,0,0,0,0,0,0,0,0
95,1.383180959,35.14761855,2021,19.11855,0,1,0,0,0,0,0,0,0,0
96,1.390187818,35.14627108,2021,11.6902,0,1,0,0,0,0,0,0,0,0
97,1.388840345,35.15004401,2021,7.00715,0,0,0,0,0,0,0,0,1,0
98,1.401776085,35.15058299,2021,13.1198,0,1,0,0,0,0,0,0,0,0
99,1.407974461,35.15193047,2021,3.0806,0,0,0,0,0,0,1,0,0,0
100,1.404740526,35.15354743,2021,3.1043,0,0,0,0,0,0,0,0,1,0
101,1.40851345,35.1503135,2021,5.6065,0,0,0,0,0,0,1,0,0,0
102,1.406087998,35.15354743,2021,5.1069,0,0,0,0,0,0,0,0,1,0
103,1.403662547,35.14627108,2021,13.40485,0,0,0,0,0,0,1,0,0,0
104,1.412016879,35.14869653,2021,8.8588,1,0,0,0,0,0,0,0,0,0
105,1.40204558,35.14600159,2021,7.1932,1,0,0,0,0,0,0,0,0,0
106,1.410399912,35.15327794,2021,2.9506,0,0,0,0,0,0,0,0,1,0
107,1.403662547,35.15381693,2021,3.3362,0,0,0,0,0,0,1,0,0,0
108,1.423874641,35.15381693,2021,16.23125,0,0,0,0,0,0,0,0,1,0
109,1.428995038,35.15193047,2021,11.96015,1,0,0,0,0,0,0,0,0,0
110,1.427108576,35.15219996,2021,12.1958,1,0,0,0,0,0,0,0,0,0
111,1.425761103,35.14761855,2021,4.0546,0,0,0,0,0,0,1,0,0,0
112,1.426300092,35.14465411,2021,4.2722,1,0,0,0,0,0,0,0,0,0
113,1.421179695,35.14573209,2021,10.92785,1,0,0,0,0,0,0,0,0,0
114,1.420101717,35.1451931,2021,8.9388,0,1,0,0,0,0,0,0,0,0
115,1.425491609,35.14950502,2021,12.8038,1,0,0,0,0,0,0,0,0,0
116,1.423066157,35.15300845,2021,17.2796,0,0,0,0,0,0,0,0,1,0
117,1.42791706,35.14681007,2021,2.9608,0,0,0,0,0,0,1,0,0,0
118,1.365933305,35.17079509,2021,6.27105,0,0,0,0,0,0,0,0,1,0
119,1.368628251,35.17241206,2021,4.6733,0,0,0,0,0,0,0,0,1,0
120,1.368897746,35.16890863,2021,6.61955,0,0,0,0,0,0,0,0,1,0
121,1.361082403,35.17160357,2021,4.8269,0,0,0,1,0,0,0,0,0,0
122,1.363507854,35.17375953,2021,4.5124,0,0,0,1,0,0,0,0,0,0
123,1.364046843,35.16567469,2021,3.4693,0,0,0,0,0,0,0,0,1,0
124,1.369436735,35.16890863,2021,7.14095,0,0,0,0,0,0,0,0,1,0
125,1.362429876,35.1699866,2021,7.2268,0,0,0,0,0,0,0,0,1,0
126,1.361890886,35.17349003,2021,3.9981,0,0,0,1,0,0,0,0,0,0
127,1.367819767,35.17160357,2021,8.761,0,0,0,0,0,0,0,0,1,0
128,1.385067421,35.16756115,2021,8.26695,0,0,0,0,0,0,0,0,1,0
129,1.384797926,35.16810014,2021,7.55565,0,0,0,0,0,0,0,0,1,0
130,1.386145399,35.17429852,2021,7.48805,0,0,0,0,0,0,0,0,1,0
131,1.390457313,35.16890863,2021,6.2837,1,0,0,0,0,0,0,0,0,0
132,1.390726807,35.17241206,2021,4.83075,0,1,0,0,0,0,0,0,0,0
133,1.384528432,35.17402902,2021,7.5836,0,0,0,0,0,0,0,0,1,0
134,1.38264197,35.1699866,2021,6.44995,0,0,0,0,0,0,0,0,1,0
135,1.381025002,35.17672397,2021,4.86485,0,0,0,0,0,0,0,0,1,0
136,1.381833486,35.17187307,2021,6.8615,0,0,0,0,0,0,0,0,1,0
137,1.382911464,35.17268155,2021,5.8629,0,0,0,0,0,0,0,0,1,0
138,1.415520309,35.17079509,2021,6.18975,0,0,0,0,0,0,0,0,1,0
139,1.412286374,35.1702561,2021,9.15,1,0,0,0,0,0,0,0,0,0
