longitude,latitude,SOC,SR_B2_1,SR_B2_2,SR_B2_3,SR_B2_4,SR_B2_5,SR_B2_6,SR_B3_1,SR_B3_2,SR_B3_3,SR_B3_4,SR_B3_5,SR_B3_6,SR_B4_1,SR_B4_2,SR_B4_3,SR_B4_4,SR_B4_5,SR_B4_6,SR_B5_1,SR_B5_2,SR_B5_3,SR_B5_4,SR_B5_5,SR_B5_6,SR_B6_1,SR_B6_2,SR_B6_3,SR_B6_4,SR_B6_5,SR_B6_6,SR_B7_1,SR_B7_2,SR_B7_3,SR_B7_4,SR_B7_5,SR_B7_6,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,ratio_B7_B5_1,ratio_B7_B5_2,ratio_B7_B5_3,ratio_B7_B5_4,ratio_B7_B5_5,ratio_B7_B5_6,ratio_B7_B4_1,ratio_B7_B4_2,ratio_B7_B4_3,ratio_B7_B4_4,ratio_B7_B4_5,ratio_B7_B4_6
32.95420212,-3.986498652,8.3394,0.012795,0.10006625,0.13449625,0.10503,0.0342175,0.2773175,0.05465,0.15442,0.17772625,0.17147,0.09711,0.29042125,0.0419725,0.1824425,0.17283125,0.2204475,0.0803075,0.312435,0.1996025,0.27491125,0.39591125,0.344115,0.3473875,0.411215,0.13771375,0.32067125,0.24715,0.356105,0.185935,0.38097875,0.0917475,0.24231,0.15875125,0.281305,0.1102825,0.30023875,0.289956893511665,0.142982002801632,0.391558032605275,0.161518569068314,0.424583154820715,0.15503480890156,0.459651056474744,0.881411728330507,0.400976860344332,0.817473809627595,0.317462487855781,0.730125968167504,2.18589552683305,1.32814448387848,0.918533251365132,1.27606346182198,1.37325280951343,0.960963880487141
32.95447162,-3.923167425,3.7516,0.10441125,0.2610925,0.4917625,0.31805875,0.00648375,0.28774,0.18014625,0.2272125,0.48904,0.36606,0.09929625,0.3187875,0.19604125,0.2498725,0.4787275,0.40812125,0.08765,0.3492025,0.40911125,0.509335,0.5830075,0.5192075,0.34407375,0.45989,0.349065,0.491955,0.30875,0.381625,0.2178075,0.451145,0.27194125,0.335535,0.2329875,0.29581125,0.141055,0.36628,0.295496004279354,0.347822400219162,0.339827576936175,0.243330544085874,0.37602915412577,0.189509851291137,0.664712226808723,0.658770750095713,0.399630364961,0.56973608817284,0.409955714436222,0.796451325316924,1.38716341586273,1.34282484066874,0.486680836175068,0.724812172853043,1.6092983456931,1.04890428905864
32.95501061,-3.98164775,9.738,0.19562875,0.1217775,0.06874375,0.21932,0.04739,0.43300875,0.257765,0.18699375,0.1255175,0.2475075,0.1135275,0.4449025,0.25324125,0.194515,0.1272775,0.25958,0.1121525,0.46199375,0.4264775,0.33186375,0.35224125,0.39565,0.2643925,0.51479375,0.358305,0.27026375,0.223335,0.305285,0.1623125,0.446745,0.29757125,0.20748125,0.1541725,0.2339775,0.1056075,0.33255125,0.292889561564848,0.139928493310802,0.353129076391364,0.155024374228268,0.24059941240895,0.156730496637807,0.69774196763018,0.625200100945041,0.437690077468212,0.59137495260963,0.39943455279556,0.645989291828038,1.17505047064805,1.0666593835951,1.21130993302037,0.901369519993836,0.941641960723123,0.719817638225625
32.95501061,-3.963591612,10.0836,0.03010625,0.09137625,0.2356,0.19488625,0.0397175,0.29787375,0.07193375,0.14518,0.273605,0.2266625,0.1162225,0.32617125,0.05782625,0.18545375,0.266235,0.2565,0.101565,0.35427625,0.27722125,0.29539875,0.476005,0.39739625,0.3206025,0.45797875,0.18951,0.36562,0.30402,0.3148275,0.2273225,0.43886625,0.1156175,0.2673625,0.2356275,0.2528975,0.1653375,0.34208,0.391632290670202,0.158217074019486,0.401422978150129,0.253814137090012,0.335512514848482,0.154394915009582,0.417058576858737,0.905090153563616,0.4950105566118,0.636386226593734,0.515708704704424,0.746934219109511,1.99939473854867,1.44166672283521,0.885035776663474,0.985955165692008,1.62789839019347,0.965574181165122
32.95501061,-3.944726991,3.7157,0.3433725,0.627475,0.02649,0.29588,0.0517625,0.2765475,0.365675,0.646945,0.065705,0.31689,0.1425125,0.3119675,0.3741175,0.6665525,0.0509375,0.3659775,0.1545025,0.34582,0.5111775,0.76856375,0.23505,0.4847775,0.3763175,0.4563425,0.3986475,0.64612,0.1557675,0.29148,0.30842,0.4446,0.324975,0.507025,0.0942225,0.2485525,0.2428875,0.32756,0.25105491875551,0.233653630171645,0.314311629924676,0.279400881446544,0.289558518390879,0.176514083296076,0.635738075326085,0.659704546304714,0.400861518825782,0.512714595871302,0.645432380901765,0.717794200627818,0.868644209372724,0.760667764354646,1.84976687116564,0.679146942093435,1.5720619407453,0.947197964258863
32.9552801,-3.980569771,8.9075,0.2277075,0.1130325,0.1071475,0.0921875,0.2421175,0.41802125,0.2791325,0.185935,0.15894375,0.1509275,0.2987125,0.40709,0.28802875,0.237085,0.16645125,0.19072,0.3100425,0.43287125,0.452465,0.3886375,0.39371125,0.3251125,0.44922,0.50719,0.37827,0.467645,0.2598,0.3239575,0.36331,0.44505375,0.30208125,0.35968,0.18451875,0.2422825,0.2878225,0.3331425,0.280527844716319,0.162006427363579,0.365039698436916,0.163091899800238,0.232957422324511,0.170190235325506,0.667634513166764,0.92548969155061,0.468665170223101,0.745226652312661,0.640716130181203,0.656839645892072,1.04878853239477,1.51709302570808,1.10854529479352,1.27035706795302,0.928332406041107,0.76961105640534
32.9552801,-3.971406955,6.4347,0.20041375,0.21080875,-0.00336125,0.0817925,0.0314125,0.22351375,0.24551375,0.30645375,0.0959,0.1426775,0.0923525,0.27348125,0.2378825,0.3449675,0.075495,0.2077425,0.07709,0.2900775,0.40878125,0.44002125,0.33493,0.32998,0.3094925,0.40017375,0.31110125,0.50327125,0.1756775,0.31337,0.16146,0.3853925,0.22279875,0.3757675,0.11554875,0.2392025,0.10019,0.3022325,0.313554140212472,0.131706982057204,0.376858194462994,0.15567759153282,0.378151260504202,0.139847494472668,0.545031725403257,0.853975802305002,0.344993730033141,0.724899993939027,0.323723515109413,0.755253186896942,0.936591594589766,1.08928377310906,1.53054838068746,1.15143747668388,1.29964976002076,1.04190259499616
32.9552801,-3.96520858,7.7874,0.04242625,0.03687125,0.2125825,0.129395,0.052615,0.3863275,0.09819625,0.11766625,0.2456375,0.2252875,0.118285,0.4086575,0.09346625,0.1581325,0.24341,0.267885,0.1114925,0.42599625,0.23626,0.280205,0.4610725,0.4006,0.30501,0.5145875,0.1969625,0.34608125,0.29192,0.2782525,0.2061475,0.44271625,0.13262625,0.255785,0.22812,0.22427,0.1453725,0.32729875,0.239074594507931,0.144187952356777,0.410014401011179,0.169131600349408,0.306324110671937,0.123939985042256,0.561357191230001,0.912849520886494,0.494759500946164,0.559835247129306,0.476615520802597,0.636041003716569,1.41897476361788,1.6175359271497,0.93718417484902,0.837187599156355,1.30387694239523,0.768313688207349
32.9555496,-3.921819952,5.2043,0.08072,0.1009875,0.0176625,0.15932875,-0.0073075,0.3054225,0.1597825,0.1734225,0.0684275,0.23781375,0.089575,0.36001,0.174385,0.226745,0.058775,0.28860625,0.08281,0.3870425,0.4647025,0.4336,0.29632,0.44323875,0.35218625,0.48651,0.36881,0.49905,0.16828,0.33981125,0.21899,0.4640975,0.2779775,0.33944,0.091995,0.23335875,0.14346125,0.3559125,0.297041005193937,0.253914029745951,0.348447076905775,0.243985393801902,0.366190896054219,0.148820139665026,0.598183784249063,0.782841328413284,0.310458288336933,0.52648544379299,0.407344835296665,0.731562557809706,1.5940447859621,1.49701206200798,1.56520629519353,0.808571366697707,1.73241456345852,0.919569556314875
32.95581909,-3.987037641,9.821,0.02416625,0.0546225,0.02671,0.097825,0.01428,0.48552,0.06422,0.1265625,0.0823975,0.185,0.049535,0.463685,0.05177625,0.16955875,0.0782175,0.207935,0.037435,0.47859,0.18768125,0.279875,0.1791425,0.3254425,0.18874,0.5193175,0.14648625,0.3492025,0.0927925,0.3700475,0.0921325,0.45076,0.09693125,0.2635675,0.06301,0.278445,0.0501675,0.3655375,0.255846840829698,0.135598714828168,0.230922768073471,0.156769258405437,0.289578947368421,0.135856602942796,0.516467414832329,0.941732916480572,0.351731163738365,0.855588928919855,0.265802161703931,0.703880574022635,1.87211800777383,1.55443172351766,0.805574200147026,1.33909635222546,1.34012287965807,0.76378006226624
