longitude,latitude,year,SOC,LC
35.15381693,1.403662547,2021,3.3362,shrubland
35.15381693,1.423874641,2021,16.23125,wooded_grassland
35.14761855,1.425761103,2021,4.0546,shrubland
35.14573209,1.421179695,2021,10.92785,bushland
35.1451931,1.420101717,2021,8.9388,cropland
35.14950502,1.425491609,2021,12.8038,bushland
35.15300845,1.423066157,2021,17.2796,wooded_grassland
35.17079509,1.365933305,2021,6.27105,wooded_grassland
35.17241206,1.368628251,2021,4.6733,wooded_grassland
35.16890863,1.368897746,2021,6.61955,wooded_grassland
35.17160357,1.361082403,2021,4.8269,grassland
35.17375953,1.363507854,2021,4.5124,grassland
35.16567469,1.364046843,2021,3.4693,wooded_grassland
35.16890863,1.369436735,2021,7.14095,wooded_grassland
35.1699866,1.362429876,2021,7.2268,wooded_grassland
35.17349003,1.361890886,2021,3.9981,grassland
35.17160357,1.367819767,2021,8.761,wooded_grassland
35.16756115,1.385067421,2021,8.26695,wooded_grassland
35.16810014,1.384797926,2021,7.55565,wooded_grassland
35.17429852,1.386145399,2021,7.48805,wooded_grassland
35.16890863,1.390457313,2021,6.2837,bushland
35.17241206,1.390726807,2021,4.83075,cropland
35.17402902,1.384528432,2021,7.5836,wooded_grassland
35.1699866,1.38264197,2021,6.44995,wooded_grassland
35.17672397,1.381025002,2021,4.86485,wooded_grassland
35.17187307,1.381833486,2021,6.8615,wooded_grassland
35.17268155,1.382911464,2021,5.8629,wooded_grassland
35.17079509,1.415520309,2021,6.18975,wooded_grassland
35.1702561,1.412286374,2021,9.15,bushland
35.17241206,1.41147789,2021,9.3344,wooded_grassland
35.17322054,1.414172836,2021,6.30775,shrubland
35.16783065,1.411747385,2021,6.00355,bushland
35.17268155,1.416328793,2021,7.4111,shrubland
35.16863913,1.416059298,2021,10.3812,wooded_grassland
35.16971711,1.406896482,2021,7.5658,shrubland
35.16702216,1.407165977,2021,7.43565,shrubland
35.16567469,1.40851345,2021,6.508,wooded_grassland
