latitude,longitude,year,SOC,bushland,cropland,forest,grassland,mangrove,shrubland,thicket,wooded_grassland,woodland,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,EVI,ST_B10
1.378869045,35.19046819,2021.0,7.10625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16242250000000003,0.23044375,0.25271875,0.403515,0.3615225,0.29000875,0.22490308891774163,282.86333528
1.379677529,35.18723426,2021.0,7.06505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18967499999999998,0.2563075,0.268435,0.39919750000000004,0.3786825,0.291205,0.16803065308646,294.16672742000003
1.379677529,35.18723426,2021.0,7.06505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20403,0.266895,0.28301,0.45254750000000005,0.41462499999999997,0.32310500000000003,0.26157018481747374,297.32839592
1.379677529,35.18723426,2021.0,7.06505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1431175,0.20207750000000002,0.2102175,0.338505,0.21459,0.19346999999999998,0.21011052759586715,255.87806738
1.379677529,35.18723426,2021.0,7.06505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.242035,0.2724225,0.28400000000000003,0.40731,0.32178500000000004,0.252815,0.23785779456385658,289.16616416
1.379677529,35.18723426,2021.0,7.06505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2444,0.276135,0.27917375,0.35287375,0.2015275,0.1736975,0.16869631271937816,229.55760436999998
1.379677529,35.18723426,2021.0,7.06505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1151225,0.1912975,0.23275375,0.37365000000000004,0.36489125,0.29311625,0.18387182775758107,275.69062031
1.385336915,35.18777325,2021.0,7.77525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00795499999999999,0.14619749999999998,0.150405,0.297695,0.32417750000000006,0.2506425,0.14606698689813477,300.06964796
1.385336915,35.18777325,2021.0,7.77525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21867375,0.24605,0.254905,0.33316999999999997,0.30323625,0.23830874999999999,0.1598522620473206,296.77980371
1.385336915,35.18777325,2021.0,7.77525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25445125,0.29223625,0.296155,0.39279,0.22997625000000002,0.19683875,0.21577530411320278,229.44139169
