longitude,latitude,year,SOC,LC,elev,slope,aspect,roughness,twi,SR_B2-1,SR_B3-1,SR_B4-1,SR_B5-1,SR_B6-1,SR_B7-1,EVI-1,ST_B10-1,VV-1,VH-1,VV/VH-1,prec-1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,EVI,ST_B10,VV,VH,VV/VH,prec
35.19181567,1.378330056,2021,6.84225,cropland,1641,1.3116309231103398,47.30356216430664,15.66049575805664,-0.8304597735404968,0.16667125,0.1916,0.20781125,0.37135375,0.23978,0.19664625,0.2285369863536492,258.40740218,0.0988160727374549,0.0195104530813738,5.064775908858416,16.9573974609375,0.2359575,0.2870525,0.31008375,0.4218575,0.31283375,0.24006875,0.2015595311661122,278.53783097,0.1006370290496332,0.0167792023232934,5.997724272620841,7.733377933502197
35.19397162,1.385067421,2021,5.94385,cropland,1634,5.549155955698171,61.34166717529297,12.340887069702148,-1.4423457384109497,0.372605,0.4215825,0.433325,0.5657924999999999,0.3971075,0.3168625,0.23568390052356,254.21349164,0.0958730994820772,0.0313693424894645,3.056267421425121,16.9573974609375,0.0225025,0.15156,0.173285,0.317,0.238625,0.19193,0.2082505299417064,278.1157055,0.0814462552288129,0.0232012454694672,3.51042599570769,7.733377933502197
35.19558859,1.384528432,2021,4.4506,wooded_grassland,1626,5.393330002298215,63.41954040527344,13.694862365722656,-1.242843508720398,0.27762,0.3051475,0.31154125,0.40440875,0.295165,0.24055,0.2036148304722706,252.98129543,0.0847804912076058,0.0162159260779616,5.228223833779531,16.9573974609375,0.01835,0.11713,0.12505,0.309575,0.20645,0.1914075,0.1783937039484138,279.73584698,0.0779918014214894,0.0124620670411914,6.258335889519721,7.733377933502197
35.19046819,1.378869045,2021,7.10625,wooded_grassland,1652,1.8548709195589883,54.527137756347656,8.628443717956543,-1.1748876571655271,0.3679024999999999,0.3664725,0.369855,0.4480925,0.2190725,0.206285,0.2421696808046561,252.8907179,0.0947670680768097,0.0233187990983648,4.06397720899164,16.9573974609375,0.1624225,0.23044375,0.25271875,0.403735,0.27730375,0.22103875,0.216092582826025,276.72798938,0.0663243222489155,0.0139500025151312,4.754430845225666,7.733377933502197
35.18723426,1.379677529,2021,7.06505,wooded_grassland,1629,3.340623981308676,22.484619140625,12.107599258422852,1.3483179807662964,0.242035,0.2724225,0.284,0.40731,0.2552625,0.1934699999999999,0.2101105275958671,255.87806738,0.0771094961826263,0.0161842224497419,4.764485684874886,16.9573974609375,0.1240874999999999,0.19029375,0.23297375,0.3738425,0.2886475,0.22812,0.1843077218604693,274.04142566,0.0738816906190482,0.0132871112006027,5.560402822224949,7.733377933502197
35.18777325,1.385336915,2021,7.77525,wooded_grassland,1621,7.380993990859553,283.6798095703125,14.340890884399414,-0.058956503868103,0.1988325,0.2473975,0.25452,0.364685,0.2289725,0.192095,0.1966443809579909,276.9023084,0.0936360154851362,0.0179447938838183,5.218004513809003,16.9573974609375,0.02881375,0.13523875,0.1441349999999999,0.310675,0.26553375,0.2116887499999999,0.1618123613594084,275.01214334,0.078972601957667,0.0168966990978085,4.673847921450515,7.733377933502197
35.19316314,1.380755507,2021,10.1211,bushland,1643,4.62784934144104,117.84432983398438,14.654130935668944,-0.9564352631568908,0.2074949999999999,0.27663,0.2894725,0.45439,0.26695,0.20843,0.2524301234401803,255.44739686,0.1453850095216594,0.0421940575473171,3.4456276066510587,16.9573974609375,0.0251012499999999,0.07798375,0.0965875,0.32053375,0.2519625,0.1963025,0.2138536118379018,278.2182461,0.1221822891970967,0.0363453044688521,3.361707680886448,7.733377933502197
35.19235465,1.386684388,2021,9.4198,wooded_grassland,1636,3.929415061401478,304.3760681152344,11.317587852478027,-1.08469820022583,0.4519975,0.4592575,0.4651424999999999,0.49223,0.4044775,0.30314,0.2242545217532997,253.73155082,0.0780090416387776,0.0216901785640621,3.596514496567057,16.9573974609375,0.0444475,0.10822,0.10380625,0.2596625,0.2103,0.17305125,0.1751137298778295,282.39164852,0.0709375306322405,0.0176926411997941,4.009437021368288,7.733377933502197
35.19585808,1.383180959,2021,8.0764,bushland,1629,3.7058684515245592,83.58760833740234,11.302059173583984,-1.6898772716522217,0.2396425,0.26990625,0.28002625,0.4056325,0.270085,0.20731625,0.2495502727531208,252.44808431,0.1209453831589307,0.0355689005690426,3.400312667077362,16.9573974609375,0.1356649999999999,0.19150375,0.2073025,0.337405,0.245995,0.19661875,0.2008922313655386,274.91302076,0.0888421689946449,0.0351847568837791,2.5250186973894624,7.733377933502197
35.1953191,1.381025002,2021,5.0463,wooded_grassland,1628,2.0731481203193427,116.28546905517578,14.153796195983888,-0.7480953931808472,0.20007,0.2586175,0.2643375,0.441795,0.299785,0.202545,0.2234001697861503,254.43224492,0.0929475841770949,0.019048882087033,4.879424616753026,16.9573974609375,0.0698575,0.1209799999999999,0.1018124999999999,0.2931025,0.223775,0.1854124999999999,0.2047460433956229,282.37797644,0.0819757757172591,0.0195127036382432,4.201149017432601,7.733377933502197
35.18831224,1.413633847,2021,7.72245,wooded_grassland,1583,4.719972661452522,64.22559356689453,10.516300201416016,-1.3398067951202393,0.13122375,0.17651625,0.18479375,0.31401625,0.2107675,0.16697375,0.1787647905488116,252.70101779,0.0733973842764902,0.0162892012891275,4.505892153563115,16.689987182617188,0.194075,0.25133,0.2845225,0.40973,0.32514,0.3023699999999999,0.1983012087553087,259.66523354000003,0.0596665726849983,0.0173501082382561,3.4389740897083603,7.548952579498291
35.1901987,1.410669406,2021,6.6298,bushland,1575,0.9276910044226532,18.37461853027344,7.409842491149902,5.834731578826904,0.151395,0.1957249999999999,0.2107125,0.3308049999999999,0.3203275,0.2227575,0.2069227738737665,255.1637012,0.1131823673749709,0.0204790191082256,5.526747486138615,16.689987182617188,0.1334099999999999,0.207055,0.2362874999999999,0.4028,0.3075125,0.2708,0.1960686281862193,265.31863862,0.0792628831163307,0.0190875347356024,4.152599286092611,7.548952579498291
35.19720556,1.412555869,2021,7.1509,wooded_grassland,1593,2.781132276071689,86.9128189086914,9.005252838134766,-0.4816102385520935,0.3113075,0.3377625,0.346535,0.4438574999999999,0.23186,0.1780149999999999,0.2267051662244419,252.1045733,0.0765316663071656,0.0204985191525885,3.733521711372069,16.689987182617188,0.32207375,0.33766625,0.35499125,0.44422875,0.28618625,0.25398375,0.2086373374021157,270.31578386,0.0644563302600401,0.0171290339103312,3.762986902674285,7.548952579498291
35.19046819,1.409860923,2021,12.5613,shrubland,1578,0.0,45.29057693481445,7.883338451385498,5.514331340789795,0.2589749999999999,0.287905,0.31250375,0.46947375,0.4053300000000001,0.299125,0.1797342122446137,252.90097196,0.0932155333966988,0.015727948043115,5.9267447438894605,16.689987182617188,0.15838,0.2459675,0.2476175,0.3937525,0.3109774999999999,0.280535,0.1798985806659325,260.14717436,0.1129605257216152,0.0159261279689849,7.092780237707387,7.548952579498291
35.1953191,1.413094858,2021,10.53665,cropland,1604,0.9276920018116004,11.094886779785156,5.814733505249023,-0.9443885684013368,0.131595,0.15591875,0.14953875,0.25310375,0.15770625,0.14090375,0.1964285783077873,256.40444246,0.1148412048604018,0.0265023484999083,4.333246348367911,16.689987182617188,0.1580775,0.2591124999999999,0.28030125,0.3970525,0.29291,0.25343375,0.2024035312600133,272.10169931,0.1004050621975008,0.0270400778753542,3.713194268904657,7.548952579498291
35.1953191,1.412555869,2021,8.53235,cropland,1605,2.0735313932028028,11.094886779785156,5.814733505249023,-0.9443885684013368,0.1789225,0.20986,0.21305,0.31579,0.199355,0.16678125,0.1803905521055868,256.21816037,0.1114926750319596,0.0306495350513139,3.637662850196478,16.689987182617188,0.27608,0.3145524999999999,0.34406,0.4656925,0.2973925,0.2414025,0.2020989287850502,270.83190488,0.097824013577033,0.0253059311462603,3.865655565552636,7.548952579498291
35.19693606,1.405549009,2021,8.1142,bushland,1595,4.141635665226138,82.9196548461914,10.243656158447266,-0.8707011342048645,0.1808475,0.20612,0.22117625,0.3581125,0.20825125,0.1580225,0.203785119967945,252.02595884,0.110882207799306,0.0307833642254861,3.60201721251456,16.689987182617188,0.03716,0.11647,0.1678124999999999,0.3758775,0.254465,0.2034524999999999,0.2136791244189025,269.68686818,0.089168049942797,0.0322785659068973,2.7624538896798856,7.548952579498291
35.19208516,1.411747385,2021,7.5367,bushland,1592,3.341027079372508,273.82342529296875,17.257108688354492,-0.3054700195789337,0.17313375,0.21856375,0.2251225,0.36733875,0.238845,0.20475875,0.2030766586994569,253.45640021,0.090184538798742,0.0241207487473347,3.7388780814155727,16.689987182617188,0.2795725,0.2960725,0.3309975,0.462035,0.3361675,0.2838075,0.1667467130935944,269.656106,0.0720495348319009,0.0190371501820385,3.784680697632949,7.548952579498291
35.19397162,1.409052439,2021,10.8194,bushland,1604,3.929433835984877,247.6414031982422,16.13689422607422,-1.6384259462356567,0.21866,0.25560625,0.26611125,0.39081,0.15993375,0.14214125,0.2192637219318514,255.90882956,0.135703628582762,0.0365949830050458,3.708257729319088,16.689987182617188,0.1893449999999999,0.2311725,0.270305,0.4225175,0.2818275,0.2232525,0.2315647482014389,269.71421234,0.1082372743462849,0.0277459147578824,3.901016610581753,7.548952579498291
