longitude,latitude,year,LC,siteid,site,SOC
35.15193047,1.361890886,2021,bushland,chepareria_1_1,chepareria,11.74585
35.14438462,1.362429876,2021,wooded_grassland,chepareria_1_10,chepareria,19.1105
35.14842704,1.367011284,2021,bushland,chepareria_1_2,chepareria,17.4791
35.15085249,1.362429876,2021,bushland,chepareria_1_3,chepareria,11.7757
35.1454626,1.362968865,2021,wooded_grassland,chepareria_1_4,chepareria,16.1051
35.14815754,1.363507854,2021,cropland,chepareria_1_5,chepareria,16.5517
35.14492361,1.363777349,2021,wooded_grassland,chepareria_1_6,chepareria,7.0088
35.14654058,1.361082403,2021,wooded_grassland,chepareria_1_7,chepareria,20.40645
35.15408642,1.360543414,2021,shrubland,chepareria_1_8,chepareria,10.3161
35.15300845,1.361890886,2021,bushland,chepareria_1_9,chepareria,18.5853
35.15570339,1.38210298,2021,shrubland,chepareria_2_10,chepareria,9.74535
35.14681007,1.387762367,2021,cropland,chepareria_2_2,chepareria,8.00345
35.1554339,1.383989442,2021,wooded_grassland,chepareria_2_3,chepareria,6.2348
35.14681007,1.38210298,2021,bushland,chepareria_2_4,chepareria,23.06535
35.15219996,1.390726807,2021,cropland,chepareria_2_5,chepareria,7.58255
35.1551644,1.383180959,2021,bushland,chepareria_2_6,chepareria,9.4427
35.14761855,1.383180959,2021,cropland,chepareria_2_7,chepareria,19.11855
35.14627108,1.390187818,2021,cropland,chepareria_2_8,chepareria,11.6902
35.15004401,1.388840345,2021,wooded_grassland,chepareria_2_9,chepareria,7.00715
35.15058299,1.401776085,2021,cropland,chepareria_3_1,chepareria,13.1198
35.15193047,1.407974461,2021,shrubland,chepareria_3_10,chepareria,3.0806
35.15354743,1.404740526,2021,wooded_grassland,chepareria_3_2,chepareria,3.1043
35.1503135,1.40851345,2021,shrubland,chepareria_3_3,chepareria,5.6065
35.15354743,1.406087998,2021,wooded_grassland,chepareria_3_4,chepareria,5.1069
35.14627108,1.403662547,2021,shrubland,chepareria_3_5,chepareria,13.40485
35.14869653,1.412016879,2021,bushland,chepareria_3_6,chepareria,8.8588
35.14600159,1.40204558,2021,bushland,chepareria_3_7,chepareria,7.1932
35.15327794,1.410399912,2021,wooded_grassland,chepareria_3_8,chepareria,2.9506
35.15381693,1.403662547,2021,shrubland,chepareria_3_9,chepareria,3.3362
35.15381693,1.423874641,2021,wooded_grassland,chepareria_4_1,chepareria,16.23125
35.14761855,1.425761103,2021,shrubland,chepareria_4_3,chepareria,4.0546
35.14573209,1.421179695,2021,bushland,chepareria_4_5,chepareria,10.92785
35.1451931,1.420101717,2021,cropland,chepareria_4_6,chepareria,8.9388
35.14950502,1.425491609,2021,bushland,chepareria_4_7,chepareria,12.8038
35.15300845,1.423066157,2021,wooded_grassland,chepareria_4_8,chepareria,17.2796
35.17079509,1.365933305,2021,wooded_grassland,chepareria_5_1,chepareria,6.27105
35.17241206,1.368628251,2021,wooded_grassland,chepareria_5_10,chepareria,4.6733
35.16890863,1.368897746,2021,wooded_grassland,chepareria_5_2,chepareria,6.61955
35.17160357,1.361082403,2021,grassland,chepareria_5_3,chepareria,4.8269
35.17375953,1.363507854,2021,grassland,chepareria_5_4,chepareria,4.5124
35.16567469,1.364046843,2021,wooded_grassland,chepareria_5_5,chepareria,3.4693
35.16890863,1.369436735,2021,wooded_grassland,chepareria_5_6,chepareria,7.14095
35.1699866,1.362429876,2021,wooded_grassland,chepareria_5_7,chepareria,7.2268
