longitude,latitude,year,LC,siteid,site,SOC,elev,slope,aspect,roughness,twi,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,EVI,VV,VH,VV/VH,prec,temp
31.32941927,-26.28340266,2020,grassland,ludzeludze_4_5,ludzeludze,18.08215,733,14.546583238400972,6.157958984375,33.42890930175781,-2.764668703079224,0.49518625,0.5045499999999999,0.50879875,0.6195275000000001,0.42184375,0.30210875,0.2495777683679743,0.0765793494376864,0.0208043147149048,3.680935925412748,18.450420379638672,14954.394736842103
31.32941927,-26.28340266,2020,grassland,ludzeludze_4_5,ludzeludze,18.08215,733,14.546583238400972,6.157958984375,33.42890930175781,-2.764668703079224,0.613395,0.5900475,0.6075512500000001,0.64484125,0.52785625,0.41699,0.130808145581267,0.0552991715383053,0.0098675616262464,5.604137438697807,12.463107109069824,15193.91
31.32941927,-26.28340266,2020,grassland,ludzeludze_4_5,ludzeludze,18.08215,733,14.546583238400972,6.157958984375,33.42890930175781,-2.764668703079224,0.51479375,0.54757375,0.5536650000000001,0.6570512500000001,0.36925,0.2296325,0.6770221600469628,0.0864915613046023,0.0165355562350588,5.230641175603291,15.063257217407228,14958.865168539323
31.32941927,-26.28340266,2020,grassland,ludzeludze_4_5,ludzeludze,18.08215,733,14.546583238400972,6.157958984375,33.42890930175781,-2.764668703079224,0.5409187500000001,0.5472025,0.5652287500000001,0.66532875,0.528585,0.4507875,0.2142243803755558,0.0976429258698459,0.016180619020635,6.034560590378076,15.205924987792969,15141.337078651686
37.55743913,0.718337817,2021,bushland,kalama_7_3,kalama,8.9793,1071,19.300432411406145,22.72443389892578,49.94587707519531,-2.874085187911988,0.0163012499999999,0.0610575,0.0624187499999999,0.2167075,0.14502875,0.0969725,0.2406608810365555,0.1837555990853775,0.058888915403362,3.120376692739812,15.831831932067873,15288.721518987342
37.55743913,0.718337817,2021,bushland,kalama_7_3,kalama,8.9793,1071,19.300432411406145,22.72443389892578,49.94587707519531,-2.874085187911988,0.04536875,0.0876225,0.10217,0.21993875,0.22403625,0.15888875,0.2015209370085132,0.1978046536895218,0.0539281302763768,3.6679308679123626,5.908133506774902,15459.548076923076
37.55743913,0.718337817,2021,bushland,kalama_7_3,kalama,8.9793,1071,19.300432411406145,22.72443389892578,49.94587707519531,-2.874085187911988,0.40042125,0.44175375,0.46375375,0.54694125,0.5129100000000001,0.41708625,0.1539411629507893,0.1654453428492788,0.056419913376737,2.9323927129157044,7.409821510314941,15481.009803921568
37.55743913,0.718337817,2021,bushland,kalama_7_3,kalama,8.9793,1071,19.300432411406145,22.72443389892578,49.94587707519531,-2.874085187911988,0.08776,0.1528525,0.2099424999999999,0.32602,0.34692,0.26629,0.1450550797737263,0.212938466781007,0.0582242931363871,3.657209994498528,5.685073852539063,15517.477272727272
104.3441262,21.50876709,2020,cropland,yenbai_3_10,yenbai,10.3854,903,10.080627057405891,11.034866333007812,83.13780212402344,0.8406522870063782,0.5977750000000001,0.596565,0.6019275000000001,0.650575,0.467645,0.37853125,0.1904923844421335,0.2341225695999176,0.0240418937519798,9.738108487424672,16.928678512573242,14951.083333333334
104.3441262,21.50876709,2020,cropland,yenbai_3_10,yenbai,10.3854,903,10.080627057405891,11.034866333007812,83.13780212402344,0.8406522870063782,0.033475,0.094855,0.0783825,0.4017,0.2022149999999999,0.164815,0.3658678069477591,0.2446991434088693,0.0431747466849893,5.667645144376589,23.001066207885746,14784.622222222222
104.3441262,21.50876709,2020,cropland,yenbai_3_10,yenbai,10.3854,903,10.080627057405891,11.034866333007812,83.13780212402344,0.8406522870063782,0.0830574999999999,0.1317875,0.130275,0.3570675,0.207,0.122135,0.2136811418178255,0.2042039141273383,0.0306509897134075,6.662229051547202,17.005569458007812,14894.318181818182
104.3441262,21.50876709,2020,cropland,yenbai_3_10,yenbai,10.3854,903,10.080627057405891,11.034866333007812,83.13780212402344,0.8406522870063782,0.4989125,0.5026250000000001,0.4846125,0.6077575,0.364355,0.260845,0.3365631416837782,0.2241363778088365,0.0442753370605656,5.062330242731597,34.4952278137207,14826.176470588236
37.59813282,0.664169405,2021,shrubland,kalama_13_10,kalama,4.1398,904,3.3404815846380096,106.03141021728516,8.657751083374023,-1.0412579774856567,-0.0535625,0.0021937499999999,0.0169612499999999,0.18765375,0.15244,0.10188125,0.2522427045734151,0.1016270772719976,0.0300183737504318,3.38549576725607,14.720324516296388,15481.552083333334
37.59813282,0.664169405,2021,shrubland,kalama_13_10,kalama,4.1398,904,3.3404815846380096,106.03141021728516,8.657751083374023,-1.0412579774856567,0.06516875,0.126865,0.17742375,0.2630725,0.29715875,0.23511875,0.1164426886804147,0.0926165650289459,0.0291697599111504,3.1750883555795864,5.051411151885986,15710.019047619047
37.59813282,0.664169405,2021,shrubland,kalama_13_10,kalama,4.1398,904,3.3404815846380096,106.03141021728516,8.657751083374023,-1.0412579774856567,0.0875675,0.1610475,0.2373325,0.3156525,0.3599275,0.2946975,0.0947343412812068,0.0846290606210348,0.0282814442348204,2.992388221703281,7.472515106201172,15687.089285714286
37.59813282,0.664169405,2021,shrubland,kalama_13_10,kalama,4.1398,904,3.3404815846380096,106.03141021728516,8.657751083374023,-1.0412579774856567,0.2339224999999999,0.2818275,0.3249475,0.3906725,0.3918,0.3007749999999999,0.1245490700746815,0.0892278727137331,0.0214364598827799,4.1624350849745655,5.769291877746582,15756.626373626374
